date,time,name,original_poster
2022-10-09,08:30,synchronicity,NA
2022-10-09,08:30,graham,gordon
2022-10-09,08:30,patric,NA
2022-10-09,08:30,social,NA
2022-10-09,08:30,arabellaxiao,fox
2022-10-09,08:30,whatever,NA
2022-10-09,08:30,nikos,marcandr
2022-10-09,08:30,yung,dwin
2022-10-09,08:30,abba,lekzy
2022-10-09,08:30,sebastian,erik
2022-10-09,08:30,hodla,wall
2022-10-09,08:30,melivefree,vebee
2022-10-09,08:30,infospectives,NA
2022-10-09,08:30,ericson,NA
2022-10-09,08:30,pay,NA
2022-10-09,08:30,tradercoops,unusualwhales
2022-10-09,08:30,sean,christophe
2022-10-09,08:30,bmx,NA
2022-10-09,08:30,artemiss,NA
2022-10-09,08:30,peterpeacock,arron
2022-10-09,08:30,cesar,carl
2022-10-09,08:30,nichola,NA
2022-10-09,08:30,sheenas,NA
2022-10-09,08:30,marc,NA
2022-10-09,08:30,kevin,phony
2022-10-09,08:30,wakandaforever,emre
2022-10-09,08:30,betty,joe
2022-10-09,08:30,david,NA
2022-10-09,08:30,ahmed,NA
2022-10-09,08:30,ivan,dave
2022-10-09,08:30,sobbleslobble,phony
2022-10-09,08:30,tajudeen,NA
2022-10-09,08:30,zhimar,carl
2022-10-09,08:30,ian,michael
2022-10-09,08:30,city,malik
2022-10-09,08:30,james,NA
2022-10-09,08:30,kevin,NA
2022-10-09,08:30,live,proud
2022-10-09,08:30,notfelineit,NA
2022-10-09,08:30,brightbritishfuture,NA
2022-10-09,08:30,hek,NA
2022-10-09,08:30,leemcjames,NA
2022-10-09,08:30,keith,left
2022-10-09,08:30,karen,joe
2022-10-09,08:30,ezpappi,NA
2022-10-09,08:30,jake,NA
2022-10-09,08:30,sam,NA
2022-10-09,08:30,escrow,NA
2022-10-09,08:30,dea,punongbayan
2022-10-09,08:30,ojo,tansu
2022-10-09,08:30,elizabeth,NA
2022-10-09,08:30,escrow,NA
2022-10-09,08:30,stuart,zubaida
2022-10-09,08:30,papi,NA
2022-10-09,08:30,mike,rec
2022-10-09,08:30,zigos,NA
