date,time,name,original_poster
2022-10-12,04:00,robert,NA
2022-10-12,04:00,jae,NA
2022-10-12,04:00,bansoffeverybody,congressman
2022-10-12,04:00,bitcoin,climate
2022-10-12,04:00,various,NA
2022-10-12,04:00,safmradio,stephen
2022-10-12,04:00,pinyon,saudi
2022-10-12,04:00,tinashe,icarda
2022-10-12,04:00,matt,NA
2022-10-12,04:00,jyothi,NA
2022-10-12,04:00,bitcoin,cop
2022-10-12,04:00,eric,david
2022-10-12,04:00,landon,NA
2022-10-12,04:00,elle,james
2022-10-12,04:00,jeff,seth
2022-10-12,04:00,darlene,breaking
2022-10-12,04:00,things,NA
2022-10-12,04:00,whateverfruitsyourloops,greg
2022-10-12,04:00,macrodistressroger,jason
2022-10-12,04:00,orange,daniel
2022-10-12,04:00,ryan,mike
2022-10-12,04:00,the,NA
2022-10-12,04:00,the,cays
2022-10-12,04:00,tammy,NA
2022-10-12,04:00,qnewscrunch,NA
2022-10-12,04:00,clau,uproxx
2022-10-12,04:00,westaustinag,NA
2022-10-12,04:00,andrew,NA
2022-10-12,04:00,armando,rnc
2022-10-12,04:00,brett,green
2022-10-12,04:00,hurmat,avi
2022-10-12,04:00,komolafe,climate
2022-10-12,04:00,emmanuel,martin
2022-10-12,04:00,mukesh,ifrc
2022-10-12,04:00,hymangalaxyheroes,chain
2022-10-12,04:00,valentina,chain
2022-10-12,04:00,corrales,evil
2022-10-12,04:00,vuka,avi
2022-10-12,04:00,cats,NA
2022-10-12,04:00,newspaper,NA
2022-10-12,04:00,paulfox,NA
2022-10-12,04:00,maga,ultra
2022-10-12,04:00,patsy,morgan
2022-10-12,04:00,nanfu,hearvoicesoutthere
2022-10-12,04:00,patrick,NA
2022-10-12,04:00,put,mike
2022-10-12,04:00,godfrey,easwaran
2022-10-12,04:00,halegalaxyheroes,chain
2022-10-12,04:00,dan,will
2022-10-12,04:00,becka,ben
2022-10-12,04:00,real,NA
2022-10-12,04:00,johan,endel
2022-10-12,04:00,grammieirene,tom
2022-10-12,04:00,bitcoin,climate
2022-10-12,04:00,damion,daniel
2022-10-12,04:00,des,kevin
2022-10-12,04:00,newspaper,NA
2022-10-12,04:00,jubin,NA
2022-10-12,04:00,shawn,NA
2022-10-12,04:00,hunter,nigel
2022-10-12,04:00,liz,kevin
2022-10-12,04:00,grant,NA
2022-10-12,04:00,jimmy,apmdd
2022-10-12,04:00,rmi,conscious
2022-10-12,04:00,churchills,maze
2022-10-12,04:00,elsademvoteblueresisthrcno,president
2022-10-12,04:00,nikola,maze
2022-10-12,04:00,wendydorian,president
2022-10-12,04:00,chapel,voluntaryactionleeds
2022-10-12,04:00,urban,NA
2022-10-12,04:00,mybookbees,NA
2022-10-12,04:00,urban,NA
2022-10-12,04:00,pallas,avi
2022-10-12,04:00,texacalirose,steve
2022-10-12,04:00,bitcoin,climate
2022-10-12,04:00,belodyjs,georgetown
2022-10-12,04:00,cheeks,mike
2022-10-12,04:00,susan,NA
2022-10-12,04:00,gym,NA
2022-10-12,04:00,john,greg
2022-10-12,04:00,bigsby,NA
2022-10-12,04:00,wes,daniel
2022-10-12,04:00,avtar,devinder
2022-10-12,04:00,redfrog,rainforest
2022-10-12,04:00,jeremiahjones,NA
2022-10-12,04:00,grandpa,NA
2022-10-12,04:00,lafrance,NA
2022-10-12,04:00,ndsu,kevin
2022-10-12,04:00,cindy,james
2022-10-12,04:00,abel,the
2022-10-12,04:00,greg,NA
2022-10-12,04:00,ryan,rebecca
2022-10-12,04:00,scott,NA
2022-10-12,04:00,schoopy,NA
2022-10-12,04:00,jonno,NA
2022-10-12,04:00,bitcoin,earthling
2022-10-12,04:00,gotalot,NA
2022-10-12,04:00,lori,rep
2022-10-12,04:00,ssfaser,alan
2022-10-12,04:00,cathy,NA
2022-10-12,04:00,steven,NA
2022-10-12,04:00,citizen,rnc
2022-10-12,04:00,yvette,NA
2022-10-12,04:00,katie,NA
2022-10-12,04:00,much,petrified
2022-10-12,04:00,shiva,NA
2022-10-12,04:00,chebet,reuben
2022-10-12,04:00,simon,NA
2022-10-12,04:00,coop,nick
2022-10-12,04:00,damon,marshall
2022-10-12,04:00,christianyves,NA
2022-10-12,04:00,put,mik
2022-10-12,04:00,shahab,NA
2022-10-12,04:00,didyaeverthink,NA
2022-10-12,04:00,postorientalism,blakandblack
2022-10-12,04:00,lance,NA
2022-10-12,04:00,vandana,mike
2022-10-12,04:00,protect,george
2022-10-12,04:00,gahyeoniee,uproxx
2022-10-12,04:00,marc,kevin
2022-10-12,04:00,grumpa,friends
2022-10-12,04:00,australian,avi
2022-10-12,04:00,miguel,tammy
2022-10-12,04:00,ozziegirl,NA
2022-10-12,04:00,nic,rep
2022-10-12,04:00,sarah,greg
2022-10-12,04:00,hunter,clint
2022-10-12,04:00,hubert,saudi
2022-10-12,04:00,ellen,president
2022-10-12,04:00,liberty,NA
2022-10-12,04:00,bitcoin,greta
2022-10-12,04:00,roy,kaddu
2022-10-12,04:00,josh,NA
2022-10-12,04:00,jakes,NA
2022-10-12,04:00,humphrey,avi
2022-10-12,04:00,wolfgang,rainforest
2022-10-12,04:00,jay,tammy
2022-10-12,04:00,questioneverything,NA
2022-10-12,04:00,maureen,president
2022-10-12,04:00,sephigroth,tammy
2022-10-12,04:00,rzz,michael
2022-10-12,04:00,sagittarius,NA
2022-10-12,04:00,heptisax,NA
2022-10-12,04:00,james,fao
2022-10-12,04:00,gay,greg
2022-10-12,04:00,hunter,drfdon
2022-10-12,04:00,philli,jay
2022-10-12,04:00,cliff,NA
2022-10-12,04:00,bitcoin,yale
2022-10-12,04:00,christopher,NA
2022-10-12,04:00,christopher,NA
2022-10-12,04:00,asylum,dakota
2022-10-12,04:00,amanda,justin
2022-10-12,04:00,bill,kevin
2022-10-12,04:00,support,brian
2022-10-12,04:00,roy,kevin
2022-10-12,04:00,sdgs,akbar
2022-10-12,04:00,natalie,wittgenstein
2022-10-12,04:00,vince,esg
2022-10-12,04:00,simplyhuman,NA
2022-10-12,04:00,starsheher,yarimar
2022-10-12,04:00,peter,NA
2022-10-12,04:00,open,greenpeace
2022-10-12,04:00,michelle,lynda
2022-10-12,04:00,emanuel,NA
2022-10-12,04:00,alan,NA
2022-10-12,04:00,handawg,NA
2022-10-12,04:00,captain,NA
2022-10-12,04:00,bitcoin,husain
2022-10-12,04:00,ndsu,rep
2022-10-12,04:00,john,NA
2022-10-12,04:00,tracy,NA
2022-10-12,04:00,peyote,preferred
2022-10-12,04:00,yestolifenotomining,NA
2022-10-12,04:00,please,NA
2022-10-12,04:00,fff,husain
2022-10-12,04:00,othmar,tom
2022-10-12,04:00,barstool,greg
2022-10-12,04:00,bitcoin,earthemailorg
2022-10-12,04:00,bike,NA
2022-10-12,04:00,irsarwono,irsarwono
2022-10-12,04:00,sln,dan
2022-10-12,04:00,gym,NA
2022-10-12,04:00,sol,uproxx
2022-10-12,04:00,justin,NA
2022-10-12,04:00,jordan,jason
2022-10-12,04:00,ann,NA
2022-10-12,04:00,rowan,sommer
2022-10-12,04:00,tom,NA
2022-10-12,04:00,bitcoin,climate
2022-10-12,04:00,irsarwono,irsarwono
2022-10-12,04:00,greg,NA
2022-10-12,04:00,rigoberto,NA
2022-10-12,04:00,suzcool,tammy
2022-10-12,04:00,steve,kevin
2022-10-12,04:00,bitcoin,mike
2022-10-12,04:00,loona,ben
2022-10-12,04:00,tony,urban
2022-10-12,04:00,dewy,NA
2022-10-12,04:00,bhavani,NA
2022-10-12,04:00,jimmy,appsame
2022-10-12,04:00,dave,NA
2022-10-12,04:00,brett,cambridge
2022-10-12,04:00,dan,christine
2022-10-12,04:00,sunshine,newzroom
2022-10-12,04:00,autin,new
2022-10-12,04:00,zach,chris
2022-10-12,04:00,larrydvoskineth,NA
2022-10-12,04:00,james,NA
2022-10-12,04:00,bertram,zeke
2022-10-12,04:00,gap,uproxx
2022-10-12,04:00,kris,NA
2022-10-12,04:00,frank,NA
2022-10-12,04:00,wendy,NA
2022-10-12,04:00,neel,NA
2022-10-12,04:00,peta,mike
2022-10-12,04:00,crystal,NA
2022-10-12,04:00,matthew,oilfield
2022-10-12,04:00,sergei,veritatem
2022-10-12,04:00,australian,brocknoxious
2022-10-12,04:00,limme,uproxx
2022-10-12,04:00,barstool,NA
2022-10-12,04:00,maoridanish,NA
2022-10-12,04:00,mark,NA
2022-10-12,04:00,essayprowess,NA
2022-10-12,04:00,gerrit,antnio
2022-10-12,04:00,shekinah,NA
2022-10-12,04:00,deborah,land
2022-10-12,04:00,ray,NA
2022-10-12,04:00,canamerish,avi
2022-10-12,04:00,bocvip,NA
2022-10-12,04:00,brett,ben
2022-10-12,04:00,karin,NA
2022-10-12,04:00,javier,NA
2022-10-12,04:00,gonzo,ultra
2022-10-12,04:00,simp,ben
2022-10-12,04:00,dirk,james
2022-10-12,04:00,nhum,death
2022-10-12,04:00,scott,NA
2022-10-12,04:00,atlas,NA
2022-10-12,04:00,lady,NA
2022-10-12,04:00,willow,hannah
2022-10-12,04:00,questioneverything,NA
2022-10-12,04:00,splantyboy,NA
2022-10-12,04:00,tina,NA
2022-10-12,04:00,solutions,NA
2022-10-12,04:00,brett,ben
2022-10-12,04:00,sandra,NA
2022-10-12,04:00,stuanon,NA
2022-10-12,04:00,belodyjs,david
2022-10-12,04:00,damon,NA
2022-10-12,04:00,john,bill
2022-10-12,04:00,gill,daily
2022-10-12,04:00,shane,avi
2022-10-12,04:00,thomas,kevin
2022-10-12,04:00,ashley,avi
2022-10-12,04:00,rachel,NA
2022-10-12,04:00,brett,ben
2022-10-12,04:00,parvaiz,sourav
2022-10-12,04:00,bobby,NA
2022-10-12,04:00,arikrishnan,oconnell
2022-10-12,04:00,darlavader,NA
2022-10-12,04:00,jim,NA
2022-10-12,04:00,miguel,ajit
2022-10-12,04:00,kristopher,NA
2022-10-12,04:00,timmymyboy,ultra
2022-10-12,04:00,david,rep
2022-10-12,04:00,sen,NA
2022-10-12,04:00,kadmech,NA
2022-10-12,04:00,radiant,NA
2022-10-12,04:00,mike,jason
2022-10-12,04:00,maureen,will
2022-10-12,04:00,cdn,knugent
2022-10-12,04:00,brett,ben
2022-10-12,04:00,kenny,greg
2022-10-12,04:00,here,NA
2022-10-12,04:00,ianmd,NA
2022-10-12,04:00,brett,ben
2022-10-12,04:00,readers,david
2022-10-12,04:00,maz,voteyes
2022-10-12,04:00,ineanderthal,NA
